city,item,course_type,column,why_not
bangalore,chicken_salt_and_pepper,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_sausage,nonveg_soup,is_* flags,no attribute or word its siblings agree about
bangalore,chicken_sausage,nonveg_soup,sub_category,no word its siblings agree about
bangalore,chicken_semi,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_serva,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_shahi_curry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_shahi_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_shahjahani_curry,nonveg_main,gravy_region,no word its siblings agree about
bangalore,chicken_shahjahani_curry,nonveg_main,nonveg_biryani_region,no word its siblings agree about
bangalore,chicken_shorba,nonveg_soup,is_* flags,no attribute or word its siblings agree about
